localidad,edad,sexo,causa_inicio,causa_persistencia,consume_cigarrillo,consume_basuco,consume_marihuana,consume_alcohol,consume_inhalantes,consume_pepas,consume_cocaina,consume_heroina,causa_inicio_texto,causa_persistencia_texto
La Candelaria,41,Hombre,5.0,10.0,No,Sí,Sí,Sí,No,No,No,No,Consumo de sustancias psicoactivas,Por discriminación
Santa Fe,26,Hombre,9.0,1.0,Sí,Sí,Sí,Sí,Sí,No,No,No,Pérdida de redes de apoyo,Consumo de sustancias psicoactivas
Santa Fe,58,Hombre,5.0,1.0,No,No,No,No,No,No,No,No,Consumo de sustancias psicoactivas,Consumo de sustancias psicoactivas
Santa Fe,73,Hombre,8.0,11.0,No,No,No,Sí,No,No,No,No,Por decisión propia,Ausencia de redes de apoyo adecuadas
Santa Fe,45,Hombre,1.0,1.0,No,Sí,Sí,Sí,Sí,No,No,No,Conflictos de convivencia o violencia con familiares o personas con las que vivía,Consumo de sustancias psicoactivas
Santa Fe,39,Hombre,1.0,1.0,Sí,Sí,Sí,No,No,No,No,No,Conflictos de convivencia o violencia con familiares o personas con las que vivía,Consumo de sustancias psicoactivas
Santa Fe,24,Hombre,9.0,2.0,Sí,Sí,Sí,Sí,Sí,Sí,No,No,Pérdida de redes de apoyo,Por decisión propia
Santa Fe,27,Hombre,1.0,1.0,Sí,Sí,Sí,No,No,Sí,Sí,No,Conflictos de convivencia o violencia con familiares o personas con las que vivía,Consumo de sustancias psicoactivas
Santa Fe,37,Hombre,5.0,1.0,Sí,Sí,Sí,No,No,No,No,No,Consumo de sustancias psicoactivas,Consumo de sustancias psicoactivas
Santa Fe,37,Hombre,9.0,11.0,Sí,Sí,Sí,Sí,Sí,No,No,No,Pérdida de redes de apoyo,Ausencia de redes de apoyo adecuadas
Santa Fe,44,Hombre,1.0,1.0,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Conflictos de convivencia o violencia con familiares o personas con las que vivía,Consumo de sustancias psicoactivas
Santa Fe,41,Hombre,1.0,6.0,Sí,Sí,Sí,Sí,Sí,Sí,No,No,Conflictos de convivencia o violencia con familiares o personas con las que vivía,Conflictos o dificultades familiares
Santa Fe,63,Mujer,3.0,11.0,No,No,No,Sí,No,No,No,No,Pérdida de fuente de ingresos suya o de su hogar,Ausencia de redes de apoyo adecuadas
Santa Fe,47,Hombre,5.0,1.0,Sí,Sí,Sí,Sí,No,No,No,No,Consumo de sustancias psicoactivas,Consumo de sustancias psicoactivas
Santa Fe,73,Hombre,9.0,8.0,No,No,No,No,No,No,No,No,Pérdida de redes de apoyo,Siempre ha sido persona habitante de calle
Santa Fe,28,Hombre,1.0,1.0,Sí,Sí,Sí,Sí,No,No,No,No,Conflictos de convivencia o violencia con familiares o personas con las que vivía,Consumo de sustancias psicoactivas
Santa Fe,27,Hombre,1.0,1.0,Sí,Sí,Sí,Sí,No,No,Sí,No,Conflictos de convivencia o violencia con familiares o personas con las que vivía,Consumo de sustancias psicoactivas
Santa Fe,,,,,,,,,,,,,,
La Candelaria,,,,,,,,,,,,,,
La Candelaria,73,Hombre,5.0,5.0,No,No,No,No,No,No,No,No,Consumo de sustancias psicoactivas,Falta de trabajo
Santa Fe,66,Hombre,3.0,5.0,Sí,No,No,Sí,No,No,No,No,Pérdida de fuente de ingresos suya o de su hogar,Falta de trabajo
Santa Fe,32,Hombre,8.0,2.0,Sí,Sí,Sí,No,No,No,No,No,Por decisión propia,Por decisión propia
Santa Fe,,,,,,,,,,,,,,
Santa Fe,21,Hombre,5.0,1.0,Sí,No,Sí,Sí,Sí,No,No,No,Consumo de sustancias psicoactivas,Consumo de sustancias psicoactivas
Santa Fe,,,,,,,,,,,,,,
Santa Fe,36,Hombre,8.0,2.0,No,Sí,Sí,No,Sí,No,No,No,Por decisión propia,Por decisión propia
Santa Fe,50,Hombre,5.0,5.0,Sí,No,Sí,No,No,No,No,No,Consumo de sustancias psicoactivas,Falta de trabajo
Santa Fe,50,Hombre,1.0,1.0,Sí,Sí,No,Sí,No,No,No,Sí,Conflictos de convivencia o violencia con familiares o personas con las que vivía,Consumo de sustancias psicoactivas
Santa Fe,45,Hombre,11.0,9.0,No,No,No,Sí,No,No,No,No,Por ser víctima o desplazado del conflicto armado,Por ser víctima o desplazado del conflicto armado
Santa Fe,,,,,,,,,,,,,,
