"globalid","edad_menstrual","recibe_ayuda","migrante","discapacidad","orientacion_sexual","LGBTI"
"{70F9EFFD-CE4A-4547-8455-4C6F507E670A}",NA,0,0,0,1,0
"{53F150F7-829D-454F-AA55-8165AA4FAED1}",NA,1,1,0,1,0
"{0703BAED-7918-4332-BCAE-9A54B6731F6C}",NA,1,0,0,1,0
"{1EFBE77F-4885-42F2-B352-2EEC2B3FDC92}",NA,1,0,0,1,0
"{C4272C80-6F30-41B4-8719-59A36E9ED214}",NA,1,0,0,1,0
"{D5759107-DC1F-4145-9113-F2DB237E76B3}",NA,1,0,0,1,0
"{94807854-31E7-4AAF-95C7-4E24FD70727C}",NA,1,0,0,1,0
"{FC5110E8-6242-4D30-AD50-2BC96946F7FD}",NA,0,0,0,7,0
"{0373CBD2-FD48-43F4-A959-E6846011E80F}",NA,0,0,0,7,0
"{8F3ED066-1E24-4D5E-B1AA-F505F9ECC0AF}",NA,0,1,0,1,0
"{0C154E27-0846-44FB-9C5A-532BF8E24511}",NA,0,0,0,1,0
